ril_gen,Height_Ctrl__LSM_CubeRt,SPAD_Ctrl_LSM,RWC_Ctrl_LSM_6thPwr,AGB_Ctrl_LSM_SqRt,BGB_Ctrl_LSM_SqRt,LT_Ctrl_LSM_Cubed
E1_F5,2.414438427,30.7,4.47E+11,0.81728208,0.46973397,26463.592
E10_F5,2.286244297,31.9,5.54E+11,0.65480913,0.48846699,27270.901
E11_F5,2.424403793,29.35,7.01E+11,0.7843628,0.49411537,22306.69338
E14_F3,2.582575798,26.525,3.78E+11,0.74447968,0.50593972,34486.80638
E15_F5,2.278244776,31.275,5.41E+11,0.72594766,0.46354611,27000
E16_F5,2.373729699,24.25,7.05E+11,0.67804867,0.409176,27000
E17_F5,2.386966384,29.625,4.13E+11,0.81527603,0.49135018,NA
E18_F5,2.444092389,30.05,5.63E+11,0.78971514,0.48897853,NA
E18-W_F5,2.444092389,29.975,9.03E+11,0.90833639,0.53265843,20910.51888
E19_F5,2.278244776,32.1,6.65E+11,0.76141316,0.59958319,NA
E2_F5,2.404390113,29.5,6.49E+11,0.73053063,0.43445368,29935.38263
E20_F5,2.397160995,27.1,6.19E+11,0.88564948,0.47312789,26865.22488
E21_F5,2.703060088,25.675,4.39E+11,0.80121782,0.57183914,NA
E21-W_F5,2.502663827,28.75,5.47E+11,0.88367132,0.55691112,NA
E22_F5,2.37815831,26.025,7.85E+11,0.74266412,0.50722283,NA
E23_F5,2.303648902,33.9,6.57E+11,0.77196179,0.45743852,27000
E23-W_F5,2.523773217,29.6,5.04E+11,0.83066239,0.4592385,NA
E24_F5,2.130837467,32.3,3.72E+11,0.69319911,0.37446629,26198.073
E24-W_F5,2.300503985,26,1.00E+12,0.74726167,0.61375891,NA
E25_F5,2.222293979,27.625,3.87E+11,0.78190473,0.50950957,28793.29963
E26_F5,2.313032505,29.225,5.45E+11,0.80442526,0.49995,NA
E26-W_F4,2.467581432,33.25,6.00E+11,0.76024667,0.48155997,20012.87588
E29-W_F5,2.342256085,31.05,4.81E+11,0.87571399,0.54117927,NA
E30_F5,2.483896494,27.25,4.49E+11,0.76728417,0.49391295,29647.08238
E32_F5,2.370768087,32.025,7.69E+11,0.70537224,0.44949972,31554.496
E33_F5,2.311473857,28.325,4.88E+11,0.73825809,0.49676453,31255.875
E35_F5,2.470315596,30.475,8.16E+11,0.76837491,0.50551954,NA
E36_F5,2.42156491,28.43333333,6.96E+11,0.68322763,0.39543226,23763.67188
E37_F4,2.326966771,29.25,3.93E+11,0.76398626,0.46262836,29218.112
E38-W_F5,2.245670687,30.275,6.48E+11,0.68490875,0.53345572,32157.432
E4_F5,2.320794417,29.925,6.82E+11,0.75600926,0.4803124,NA
E40-W_F5,2.547106805,26.925,4.48E+11,0.75757838,0.49373576,NA
E41_F5,2.413008072,26.35,7.27E+11,0.79022149,0.53275229,30517.57813
E42_F5,2.379630854,29.025,6.99E+11,0.72780492,0.48018226,28094.464
E43_F5,2.603643806,27.675,7.00E+11,0.76686048,0.52848841,NA
E44_F5,2.522464206,29.05,7.99E+11,0.89738509,0.61322916,29791
E45_F5,2.33463646,27.975,8.01E+11,0.70664701,0.45746585,NA
E46-W_F5,2.297350446,28.65,7.92E+11,0.8319405,0.45354162,29360.63913
E47_F5,2.400057869,26.675,6.34E+11,0.6954495,0.49464634,NA
E48_F5,2.309913104,27.4,7.41E+11,0.71133677,0.49859803,29647.08238
E49_F5,2.257178718,26.7,7.93E+11,0.69987499,0.4809106,NA
E49-W_F5,2.270188681,28.625,4.26E+11,0.80667528,0.52067264,35287.552
E5_F5,2.360343721,27.15,5.42E+11,0.89872131,0.57982756,29935.38263
E50_F5,2.348316283,30.975,8.68E+11,0.79474839,0.48270074,21253.933
E6_F5,2.525080872,26.875,5.23E+11,0.84117477,0.5450688,NA
E7_F5,2.445486623,26.575,4.75E+11,0.76930163,0.52640289,29360.63913
E8_F5,2.386966384,25.1,6.94E+11,0.7342343,0.49040799,NA
L1_F5,2.337690272,26.85,7.63E+11,0.69978568,0.49784536,24769.41088
L10_F3,2.291017263,32.825,6.67E+11,0.78771822,0.47339202,26865.22488
L11_F3,2.54195852,27.975,7.23E+11,0.78716263,0.53551377,34328.125
L12_F4,2.370768087,26.675,8.22E+11,0.6575903,0.43860575,31855.013
L13_F5,2.284648871,28.075,7.97E+11,0.52554733,0.30331502,23763.67188
L14_F3,2.413008072,29.275,3.90E+11,0.75403912,0.39780649,25282.75038
L15_F3,2.479837832,26.625,6.66E+11,0.77147586,0.54417369,32461.759
L16_F4,2.397160995,28.425,5.43E+11,0.67029844,0.44561755,NA
L17_F5,2.392802511,30.2,5.28E+11,0.99364229,0.61288253,24769.41088
L18_F5,2.481192195,30.45,2.72E+11,0.73469381,0.51927835,19141.29688
L19_F3,2.510621476,27.65,5.47E+11,0.82465144,0.58517092,28934.443
L2_F4,2.42156491,25.35,4.90E+11,0.86371292,0.60983604,19573.85238
L20_F5,2.526387174,28.175,4.26E+11,0.86910874,0.54920397,NA
L21_F4,2.40583073,31.075,5.91E+11,0.76816339,0.47840882,NA
L22_F5,2.398610307,24.75,5.91E+11,0.78273559,0.46360004,24137.569
L23_F5,2.441299138,28.325,7.15E+11,0.80958323,0.47851332,21601.08663
L24_F5,2.292603841,29.525,6.00E+11,0.75921012,0.42393985,25803.13388
L26_F5,2.240702373,31.025,5.94E+11,0.7514985,0.42816469,NA
