ril_gen,ril,gen,ht_ctrl,ht_t,spad_ctrl,spad_t,rwc_ctrl,rwc_t,agb_ctrl,agb_t,bgb_ctrl,bgb_t,lt_ctrl,lt_t
E1_F5,E1,F5,11,10.4,32.1,18.9,95.34883721,-21.875,0.9071,0.2194,0.3228,0.1132,30.2,33.7
E1_F5,E1,F5,17.3,9.5,34.7,32.3,84,17.59259259,0.4999,0.2062,0.1515,0.1101,29.4,33.2
E1_F5,E1,F5,15.7,9.7,27.4,NA,85,NA,0.6986,0.2575,0.2134,0.1211,NA,NA
E1_F5,E1,F5,12.3,9.1,28.6,NA,85.45454545,NA,0.5662,0.2307,0.1949,0.1259,NA,NA
E10_F5,E10,F5,12.5,8.2,30.9,26.2,104.494382,2.272727273,0.3975,0.1984,0.1824,0.1389,30.9,32.7
E10_F5,E10,F5,11.3,8.2,28.9,25.2,98.64864865,91.75257732,0.5253,0.2404,0.2218,0.1286,29.3,35
E10_F5,E10,F5,12.2,8.8,37,23.2,88.46153846,85.71428571,0.3877,0.2722,0.3816,0.1706,NA,NA
E10_F5,E10,F5,11.8,7.9,30.8,28,84.7826087,88.88888889,0.4046,0.1842,0.1686,0.0944,NA,NA
E11_F5,E11,F5,13.6,7.5,33.4,14.4,95.55555556,27.5862069,0.7802,0.1917,0.2828,0.0689,27.5,34
E11_F5,E11,F5,13.8,8.4,23,24.5,104.5454545,41.37931034,0.7468,0.1281,0.4064,0.0769,28.8,31.3
E11_F5,E11,F5,14.9,12.2,29.1,25,93.47826087,91.17647059,0.4439,0.1991,0.0944,0.0818,NA,NA
E11_F5,E11,F5,14.7,10.5,31.9,27.3,93.75,45.65217391,0.49,0.2256,0.193,0.1197,NA,NA
E14_F3,E14,F3,16.3,12.7,24.2,33.2,76.47058824,11.76470588,0.5142,0.1823,0.2866,0.0873,34.5,36.4
E14_F3,E14,F3,16.5,9.8,22.5,16.9,73.33333333,22.22222222,0.5891,0.2268,0.1861,0.1259,30.6,32.2
E14_F3,E14,F3,17.9,12,27.9,26.1,96.62542182,25,0.6529,0.2487,0.3563,0.2079,NA,NA
E14_F3,E14,F3,18.2,12.3,31.5,21.5,93.75,83.78378378,0.4608,0.1082,0.1949,0.0824,NA,NA
E15_F5,E15,F5,13.1,8.7,33.6,34.5,91.37931034,30.76923077,0.7601,0.1712,0.3355,0.0959,29.6,36.9
E15_F5,E15,F5,12.4,7.8,33.9,27.8,88.88888889,22.91666667,0.6005,0.1954,0.2149,0.166,30.4,33.3
E15_F5,E15,F5,11.4,9,29.5,NA,90.54054054,NA,0.4231,0.2071,0.1878,0.0877,NA,NA
